pred,resp,E,r_G4,r16,r50,r84,r_xcom
Carbon,LAC,10.0,-0.9851618743329225,-0.9860835148458331,-0.979521086549797,-0.9716390285818172,-0.991287002148351
Carbon,LAC,15.0,-0.9871922131380626,-0.9876853062990402,-0.9818384894125095,-0.9734415753208288,-0.9907949451525471
Carbon,Zeff,0.01,0.32576728376586506,0.32576728376586506,0.32576728376586506,0.32576728376586506,0.32576728376586506
Carbon,Zeff,0.03,-0.6569772493228592,-0.6569772493228592,-0.6569772493228592,-0.6569772493228592,-0.6569772493228592
Carbon,Zeff,0.05,-0.8511400799292405,-0.8511400799292405,-0.8511400799292405,-0.8511400799292405,-0.8511400799292405
Carbon,Zeff,0.08,-0.892507851391348,-0.892507851391348,-0.892507851391348,-0.892507851391348,-0.892507851391348
Carbon,Zeff,0.1,-0.8988805079993966,-0.8988805079993966,-0.8988805079993966,-0.8988805079993966,-0.8988805079993966
Carbon,Zeff,1.0,-0.9056031981771513,-0.9056031981771513,-0.9056031981771513,-0.9056031981771513,-0.9056031981771513
Carbon,Zeff,10.0,-0.916229685147971,-0.916229685147971,-0.916229685147971,-0.916229685147971,-0.916229685147971
Carbon,Zeff,15.0,-0.9217133656530846,-0.9217133656530846,-0.9217133656530846,-0.9217133656530846,-0.9217133656530846
Nitrogen,MAC,0.01,0.5107713711463435,0.48915728953183685,0.5104582012938725,0.5316680521260132,0.460328904522964
Nitrogen,MAC,0.03,0.7664575902646961,0.7402491126677556,0.764574003433123,0.7859638602384783,0.744851139881225
Nitrogen,MAC,0.05,0.8641151868811422,0.7396298331551145,0.813624464552536,0.8739158107052142,0.9664522281016608
Nitrogen,MAC,0.08,0.4392136456240541,0.2536432286159234,0.39801712245583626,0.5406148145809606,0.5840305674987977
Nitrogen,MAC,0.1,0.5125181931441729,0.34926341446933673,0.47657930684842537,0.5916754000828114,0.4214002054151258
Nitrogen,MAC,1.0,0.08164402378486225,-0.09607076320026478,0.0771086605012486,0.24960801229191462,0.2587323666051564
Nitrogen,MAC,10.0,-0.09103886465172892,-0.3117854627732268,-0.05560261193718201,0.2037070829280655,-0.5981031346067003
Nitrogen,MAC,15.0,-0.029557130365459604,-0.2802176279206174,-0.01214714045692988,0.2548650848141351,-0.8941268388489041
Nitrogen,LAC,0.01,-0.15604992989272348,-0.16870022883950414,-0.15575949801177102,-0.14234938854542123,-0.18872261525840198
Nitrogen,LAC,0.03,-0.33582291277014453,-0.34539791335387715,-0.3354825786967993,-0.32557818129056926,-0.3359456088261893
Nitrogen,LAC,0.05,-0.5330453239780271,-0.5442654414819215,-0.5325118635077719,-0.5206682880105435,-0.5195967209517821
Nitrogen,LAC,0.08,-0.5887640578315656,-0.600290268049943,-0.5880105902289839,-0.5761115983927003,-0.5878457156872433
Nitrogen,LAC,0.1,-0.5857157580421852,-0.5978870584524647,-0.5849307110611028,-0.5722367505302022,-0.600620403904877
