condition,value,E_MeV,mixture,d_mfp,B_exposure,T_primary,T_broad,T_broad_using_Geant4_MAC
thickness_cm,1,11,7,0.02742417554387503,,,,
thickness_cm,1,11,8,0.027751444217656494,,,,
thickness_cm,1,11,9,0.028085036529911993,,,,
thickness_cm,1,11,10,0.028777765963177954,,,,
thickness_cm,1,12,1,0.026253043337428703,,,,
thickness_cm,1,12,2,0.024937054886211514,,,,
thickness_cm,1,12,3,0.027713159364474826,,,,
thickness_cm,1,12,4,0.027266736292428203,,,,
thickness_cm,1,12,5,0.025358682450975636,,,,
thickness_cm,1,12,6,0.02594865961818694,,,,
thickness_cm,1,12,7,0.026564428517867434,,,,
thickness_cm,1,12,8,0.026883059542506214,,,,
thickness_cm,1,12,9,0.02720919230167962,,,,
thickness_cm,1,12,10,0.02788504828347856,,,,
thickness_cm,1,13,1,0.02553116804159394,,,,
thickness_cm,1,13,2,0.024242245750679486,,,,
thickness_cm,1,13,3,0.026962632768201003,,,,
thickness_cm,1,13,4,0.026526381201044388,,,,
thickness_cm,1,13,5,0.024656747720739502,,,,
thickness_cm,1,13,6,0.02523358063135262,,,,
thickness_cm,1,13,7,0.025836950265091772,,,,
thickness_cm,1,13,8,0.026148482568872797,,,,
thickness_cm,1,13,9,0.026468730935224484,,,,
thickness_cm,1,13,10,0.027129562957076858,,,,
thickness_cm,1,14,1,0.02492271123031732,,,,
thickness_cm,1,14,2,0.023655208105147863,,,,
thickness_cm,1,14,3,0.026330388037005985,,,,
thickness_cm,1,14,4,0.02590409399477807,,,,
thickness_cm,1,14,5,0.024063199970907476,,,,
thickness_cm,1,14,6,0.024630645028062437,,,,
thickness_cm,1,14,7,0.025222845246514913,,,,
thickness_cm,1,14,8,0.02552996329553462,,,,
thickness_cm,1,14,9,0.025844312021721275,,,,
thickness_cm,1,14,10,0.02649433278562674,,,,
thickness_cm,1,15,1,0.02440098620134987,,,,
thickness_cm,1,15,2,0.02315185185185185,,,,
thickness_cm,1,15,3,0.02578826282206148,,,,
thickness_cm,1,15,4,0.02536931592689295,,,,
thickness_cm,1,15,5,0.023553523098769107,,,,
thickness_cm,1,15,6,0.02411214679591135,,,,
thickness_cm,1,15,7,0.02469646951630618,,,,
thickness_cm,1,15,8,0.024998828643595216,,,,
thickness_cm,1,15,9,0.025308306405705246,,,,
thickness_cm,1,15,10,0.025949647672022517,,,,
thickness_cm,2,0.015,1,3.4114358712527117,1.514827165149375,0.032993791510770726,0.04997989166179033,0.05019915709009209
thickness_cm,2,0.015,2,3.1280332639649506,1.523561317160787,0.043803863226764855,0.06673787155450082,0.06675545614578778
thickness_cm,2,0.015,3,3.7261829033495815,1.5053414275549981,0.02408459382315568,0.03625553684783146,0.03670931748799872
thickness_cm,2,0.015,4,3.6806788093994776,1.499476829735927,0.02520585905266054,0.037795601623054044,0.038108319588173345
thickness_cm,2,0.015,5,3.3446441509458533,1.501362327712888,0.03527276470456675,0.052957200121717334,0.05318062875749626
thickness_cm,2,0.015,6,3.3886722425688345,1.5102619617363167,0.03375346357215955,0.05097657210988499,0.05122480063983227
thickness_cm,2,0.015,7,3.434725810297063,1.5194724637345727,0.032234247319039094,0.048979051190489876,0.04907085010280314
thickness_cm,2,0.015,8,3.458554968800667,1.5241997536835215,0.03147521183536493,0.04797451012659989,0.048278907949283946
thickness_cm,2,0.015,9,3.482947915378872,1.5290118185065462,0.030716727121903903,0.04696623879523164,0.047231010473932945
thickness_cm,2,0.015,10,3.5334954166386074,1.5388994923507593,0.029202661790936734,0.04493996140536346,0.04508337757125121
