kind,mix,E_MeV,Zeq_EpiXS,Zeq_epixs_cli,max_abs_rel_diff_%_1to40mfp,rel_diff_%_at_40mfp,error
exposure,6,4.0,5.95788,5.9578223244374335,0.00035296029059495027,0.0002471037040319146,
exposure,6,5.0,5.95676,5.956993099335515,0.0006490906892309134,-0.00023658233531120842,
exposure,6,6.0,5.95545,5.955689347026605,0.0005508956838262691,0.00048601414239790586,
exposure,6,8.0,5.95257,5.952540700571903,0.00038380729717735207,-0.00038380729717735207,
exposure,6,10.0,5.95075,5.9500877014881075,0.000921819359311904,-0.0005016819032532815,
exposure,6,15.0,5.94977,5.9501907220485215,0.0012581081101581404,0.0008722920663783995,
exposure,7,0.015,6.66493,6.663242122463482,0.08490589311787033,0.08490589311787033,
exposure,7,0.02,6.67849,6.677669460837667,0.08676570602985656,0.08676570602985656,
exposure,7,0.03,6.68812,6.685915246036881,0.4407574400143943,0.4407574400143943,
exposure,7,0.04,6.69201,6.69074446247752,0.3305161823415226,0.3305161823415226,
exposure,7,0.05,6.69547,6.694738362063797,0.18291818181974673,0.18291818181974673,
exposure,7,0.06,6.69969,6.6987272983702315,0.21875197193979012,0.21875197193979012,
exposure,7,0.08,6.70755,6.704696397045475,0.5372846307897916,0.5372846307897916,
exposure,7,0.1,6.71138,6.70933143194191,0.3408910082906891,0.3408910082906891,
exposure,7,0.15,6.71273,6.716319177897298,0.42049918735982406,-0.42049918735982406,
exposure,7,0.2,6.71688,6.716783243431267,0.009739863269975224,0.009739863269975224,
exposure,7,0.3,6.72272,6.722560960547715,0.011166424901731808,0.011166424901731808,
exposure,7,0.4,6.72466,6.724536555878793,0.006046190068986768,0.005515439407610678,
exposure,7,0.5,6.72524,6.725500384966152,0.013523072948329329,-0.013523072948329329,
exposure,7,0.6,6.72598,6.726014811278713,0.0011486982134933932,-0.0009064387672452767,
exposure,7,0.8,6.7254,6.725995153228378,0.011810321554839298,-0.011352889244953257,
exposure,7,1.0,6.72808,6.7267952160751925,0.022388195195754967,0.022335664092398844,
exposure,7,1.5,6.07761,6.078518569327005,0.007470177295054725,-0.003978200651011399,
exposure,7,2.0,6.05211,6.051477212257802,0.004912222456909809,0.004912222456909809,
exposure,7,3.0,6.04418,6.044608002953431,0.001679147397348757,-0.000947624973623995,
exposure,7,4.0,6.04075,6.040753880860055,0.000285266005439766,-5.383990696605778e-05,
exposure,7,5.0,6.03955,6.039808369973795,0.0007217596403430449,0.0007217596403430449,
exposure,7,6.0,6.03811,6.038382153954965,0.0006771748553902057,0.0006771748553902057,
exposure,7,8.0,6.03489,6.034985355949374,0.00042582158962245487,0.00025454748375786096,
exposure,7,10.0,6.03295,6.032215005634834,0.0034204877031873693,-0.0013715560737481702,
exposure,7,15.0,6.03156,6.031994283822613,0.0016684219958040813,0.0016684219958040813,
exposure,8,0.015,6.70723,6.705454322732123,0.0886742945001684,0.0886742945001684,
exposure,8,0.02,6.72155,6.720698716245064,0.08946840471606432,0.08946840471606432,
exposure,8,0.03,6.73337,6.730988760511173,0.4897836497506969,0.4897836497506969,
exposure,8,0.04,6.73842,6.737067801700325,0.3675351032473628,0.3675351032473628,
exposure,8,0.05,6.74246,6.741667820194984,0.2038422483994884,0.2038422483994884,
exposure,8,0.06,6.74708,6.746040518302292,0.24238774781895067,0.24238774781895067,
exposure,8,0.08,6.75552,6.7523920215918265,0.5986020047785923,0.5986020047785923,
exposure,8,0.1,6.75954,6.757279709216019,0.3869659615302723,0.3869659615302723,
exposure,8,0.15,6.76075,6.764679940626231,0.47107373796747565,-0.47107373796747565,
exposure,8,0.2,6.76511,6.765013777729265,0.010166488964880038,0.010166488964880038,
exposure,8,0.3,6.77125,6.771093128574636,0.0114666748697978,0.0114666748697978,
exposure,8,0.4,6.77326,6.773166141396014,0.004830754292450834,0.004225431206172914,
exposure,8,0.5,6.77387,6.774161075291157,0.01577081699362104,-0.01577081699362104,
exposure,8,0.6,6.77463,6.774680092711627,0.0016966120123473871,-0.001402795192362305,
exposure,8,0.8,6.77395,6.774634960268128,0.013855840118681684,-0.013239827386979375,
exposure,8,1.0,6.77689,6.775522621148025,0.024084517622235957,0.02390950720565499,
exposure,8,1.5,6.11964,6.120477760440878,0.0068700526989706745,-0.0035684305760175228,
exposure,8,2.0,6.0941,6.093524079994116,0.004470950559021247,0.004470950559021247,
