set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix5,0.8,0.000062,0.999001,0.000937,0.000000,0.076101
new,Mix5,1,0.000043,0.999290,0.000667,0.000000,0.068418
new,Mix5,1.173,0.000032,0.999356,0.000525,0.000086,0.063215
new,Mix5,1.33,0.000028,0.998993,0.000436,0.000543,0.059263
new,Mix5,1.5,0.000024,0.998063,0.000365,0.001549,0.055683
new,Mix5,2,0.000018,0.992556,0.000239,0.007187,0.047778
new,Mix5,2.51,0.000014,0.983972,0.000172,0.015842,0.042217
new,Mix5,3,0.000012,0.973874,0.000133,0.025981,0.038308
new,Mix5,4,0.000010,0.949642,0.000087,0.050261,0.032771
new,Mix5,5,0.000008,0.922853,0.000063,0.077076,0.029123
new,Mix5,6,0.000007,0.894794,0.000048,0.105150,0.026547
new,Mix5,7,0.000007,0.866632,0.000038,0.133323,0.024636
new,Mix5,8,0.000006,0.838824,0.000031,0.161139,0.023165
new,Mix5,9,0.000006,0.811687,0.000026,0.188282,0.022006
new,Mix5,10,0.000005,0.785528,0.000022,0.214445,0.021067
new,Mix5,11,0.000005,0.760491,0.000019,0.239486,0.020297
new,Mix5,12,0.000005,0.736574,0.000016,0.263406,0.019653
new,Mix5,13,0.000004,0.713604,0.000014,0.286377,0.019109
new,Mix5,14,0.000004,0.691794,0.000012,0.308189,0.018649
new,Mix5,15,0.000004,0.671016,0.000011,0.328969,0.018254
new,Mix6,0.01,0.914284,0.037786,0.047930,0.000000,3.959410
new,Mix6,0.015,0.784307,0.128280,0.087413,0.000000,1.284236
new,Mix6,0.02,0.619176,0.266084,0.114741,0.000000,0.648491
new,Mix6,0.03,0.332916,0.547031,0.120053,0.000000,0.325242
new,Mix6,0.04,0.173919,0.728220,0.097861,0.000000,0.243722
new,Mix6,0.05,0.096553,0.827553,0.075894,0.000000,0.211383
new,Mix6,0.06,0.057705,0.883046,0.059249,0.000000,0.194309
new,Mix6,0.08,0.024814,0.936804,0.038381,0.000000,0.175448
new,Mix6,0.1,0.012760,0.960382,0.026858,0.000000,0.163873
new,Mix6,0.15,0.003837,0.982353,0.013810,0.000000,0.145066
new,Mix6,0.2,0.001669,0.989730,0.008600,0.000000,0.132230
new,Mix6,0.3,0.000546,0.995012,0.004442,0.000000,0.114595
new,Mix6,0.356,0.000350,0.996277,0.003372,0.000000,0.107367
new,Mix6,0.4,0.000262,0.996939,0.002799,0.000000,0.102552
new,Mix6,0.5,0.000155,0.997880,0.001965,0.000000,0.093604
new,Mix6,0.511,0.000148,0.997953,0.001899,0.000000,0.092748
new,Mix6,0.6,0.000104,0.998419,0.001477,0.000000,0.086548
new,Mix6,0.662,0.000085,0.998648,0.001268,0.000000,0.082867
new,Mix6,0.8,0.000060,0.998993,0.000947,0.000000,0.076002
new,Mix6,1,0.000042,0.999284,0.000674,0.000000,0.068329
new,Mix6,1.173,0.000031,0.999352,0.000530,0.000087,0.063131
new,Mix6,1.33,0.000027,0.998985,0.000440,0.000548,0.059187
