set,material,E_MeV,Zeff_direct
old,Mix3,0.15,3.895200
old,Mix3,0.2,3.886703
old,Mix3,0.3,3.880735
old,Mix3,0.356,3.879166
old,Mix3,0.4,3.878422
old,Mix3,0.5,3.877661
old,Mix3,0.511,3.877590
old,Mix3,0.6,3.877006
old,Mix3,0.662,3.876686
old,Mix3,0.8,3.876334
old,Mix3,1,3.876114
old,Mix3,1.173,3.876217
old,Mix3,1.33,3.876764
old,Mix3,1.5,3.878029
old,Mix3,2,3.886193
old,Mix3,2.51,3.897618
old,Mix3,3,3.913440
old,Mix3,4,3.947264
old,Mix3,5,3.984762
old,Mix3,6,4.024220
old,Mix3,7,4.064151
old,Mix3,8,4.103812
old,Mix3,9,4.143101
old,Mix3,10,4.181427
old,Mix3,11,4.218466
old,Mix3,12,4.254478
old,Mix3,13,4.289142
old,Mix3,14,4.322916
old,Mix3,15,4.355316
old,Mix4,0.01,6.793420
old,Mix4,0.015,6.227003
old,Mix4,0.02,5.583519
old,Mix4,0.03,4.704650
old,Mix4,0.04,4.315592
old,Mix4,0.05,4.142109
old,Mix4,0.06,4.055795
old,Mix4,0.08,3.979819
old,Mix4,0.1,3.949124
old,Mix4,0.15,3.922244
old,Mix4,0.2,3.914062
old,Mix4,0.3,3.908309
old,Mix4,0.356,3.906793
old,Mix4,0.4,3.906070
old,Mix4,0.5,3.905320
old,Mix4,0.511,3.905251
old,Mix4,0.6,3.904692
old,Mix4,0.662,3.904391
old,Mix4,0.8,3.904023
old,Mix4,1,3.903794
old,Mix4,1.173,3.903947
old,Mix4,1.33,3.904452
old,Mix4,1.5,3.905701
old,Mix4,2,3.913662
old,Mix4,2.51,3.924903
old,Mix4,3,3.940349
old,Mix4,4,3.973429
old,Mix4,5,4.010104
old,Mix4,6,4.048690
old,Mix4,7,4.087721
old,Mix4,8,4.126493
old,Mix4,9,4.164874
old,Mix4,10,4.202309
old,Mix4,11,4.238498
old,Mix4,12,4.273653
old,Mix4,13,4.307500
old,Mix4,14,4.340471
old,Mix4,15,4.372081
old,Mix5,0.01,6.586898
old,Mix5,0.015,5.958116
old,Mix5,0.02,5.280417
old,Mix5,0.03,4.411275
old,Mix5,0.04,4.045376
old,Mix5,0.05,3.885559
old,Mix5,0.06,3.806670
old,Mix5,0.08,3.737539
old,Mix5,0.1,3.709589
old,Mix5,0.15,3.685066
old,Mix5,0.2,3.677613
old,Mix5,0.3,3.672353
old,Mix5,0.356,3.670956
old,Mix5,0.4,3.670285
old,Mix5,0.5,3.669574
old,Mix5,0.511,3.669510
old,Mix5,0.6,3.669001
old,Mix5,0.662,3.668739
old,Mix5,0.8,3.668335
old,Mix5,1,3.668093
old,Mix5,1.173,3.668346
old,Mix5,1.33,3.668772
old,Mix5,1.5,3.669993
old,Mix5,2,3.677481
old,Mix5,2.51,3.688331
old,Mix5,3,3.702918
old,Mix5,4,3.734409
old,Mix5,5,3.769415
old,Mix5,6,3.806326
old,Mix5,7,3.843728
old,Mix5,8,3.880994
old,Mix5,9,3.917927
old,Mix5,10,3.954034
old,Mix5,11,3.989058
old,Mix5,12,4.023101
old,Mix5,13,4.055964
old,Mix5,14,4.088050
old,Mix5,15,4.118830
old,Mix6,0.01,6.694336
old,Mix6,0.015,6.074442
old,Mix6,0.02,5.393359
old,Mix6,0.03,4.499997
