set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix3,0.05,7.08096,4.95495,10.8681,18.7163,28.624,40.7283,55.1605,72.0394,91.4689,113.539,138.327,165.904,196.335,305.546,555.989,925.66,1474.41,2228.6,3108.95
new,Mix3,0.06,7.09117,5.42278,13.0072,24.0965,39.2448,59.0324,84.0297,114.778,151.781,195.494,246.331,304.673,370.88,620.535,1243.55,2265.14,3958.28,6494.96,9558.97
new,Mix3,0.08,7.10536,5.35939,13.925,27.7448,48.2177,76.8781,115.331,165.199,228.081,305.519,398.982,509.87,639.545,1155.54,2564.62,5121.31,9744.2,17000.5,25667.5
new,Mix3,0.1,7.11539,5.12033,13.364,26.9308,47.4464,76.7755,116.969,170.218,238.802,325.054,431.318,559.932,713.23,1345.1,3148.92,6455.83,12510.9,22767.9,36999.1
new,Mix3,0.15,7.13157,3.95703,10.1243,20.5571,36.6661,60.0736,92.5649,136.039,192.461,263.814,352.065,459.139,586.92,1113.37,2608.9,5349.56,10394.9,18885.5,30270
new,Mix3,0.2,7.13812,3.38403,8.27854,16.4257,28.8019,46.4932,70.6501,102.447,143.043,193.556,255.037,328.463,414.753,759.737,1693.93,3336.16,6181.85,10425.8,15131.1
new,Mix3,0.3,7.14891,2.9475,6.58832,12.2419,20.3454,31.3604,45.7475,63.9477,86.3683,113.372,145.273,182.335,224.776,386.205,783.426,1401.97,2368.83,3739.81,5269.39
new,Mix3,0.356,7.15233,2.79331,6.01684,10.8734,17.6554,26.6624,38.1817,52.4757,69.7738,90.2669,114.106,141.405,172.247,286.614,556.152,957.722,1561.2,2385.37,3271.29
new,Mix3,0.4,7.15442,2.6884,5.63978,9.99049,15.952,23.7353,33.5352,45.5213,59.8324,76.5744,95.82,117.613,141.973,230.492,431.874,720.988,1141.31,1697,2273.89
new,Mix3,0.5,7.15727,2.52752,5.04074,8.58285,13.2562,19.1592,26.3761,34.9722,44.9921,56.4594,69.3788,83.7388,99.5162,155.061,274.708,436.248,657.793,936.293,1214.46
new,Mix3,0.511,7.15737,2.51213,4.98674,8.46057,13.0284,18.7813,25.7963,34.1321,43.8277,54.9023,67.3569,81.1775,96.3392,149.571,263.729,417.182,626.838,889.538,1151.31
new,Mix3,0.6,7.15885,2.39861,4.59571,7.58693,11.419,16.1355,21.769,28.3387,35.8498,44.2945,53.6534,63.8986,74.9966,113.069,191.617,293.104,427.036,589.714,747.544
new,Mix3,0.662,7.16239,2.34134,4.39617,7.14343,10.6104,14.8227,19.7971,25.5399,32.0469,39.3039,47.2886,55.9728,65.325,97.0867,161.629,243.833,350.877,479.36,603.276
new,Mix3,0.8,7.16017,2.23151,4.02493,6.33513,9.16065,12.5007,16.3499,20.6968,25.5244,30.811,36.531,42.6568,49.1606,70.6925,112.662,163.889,228.016,302.148,371.438
new,Mix3,1,7.16111,2.11874,3.65406,5.54976,7.78856,10.3565,13.2386,16.418,19.8758,23.5915,27.5443,31.7131,36.0779,50.183,76.6313,107.609,144.861,186.489,224.778
new,Mix3,1.173,6.72029,2.07755,3.50997,5.24044,7.24869,9.51876,12.0351,14.7813,17.7406,20.8955,24.2286,27.723,31.3632,43.0319,64.6684,89.7386,119.68,153.343,185.244
new,Mix3,1.33,6.33911,2.04661,3.39872,4.99887,6.82416,8.85673,11.08,13.4777,16.0337,18.7321,21.5577,24.4963,27.5349,37.1524,54.649,74.5838,98.009,123.856,147.949
new,Mix3,1.5,6.25606,1.99934,3.24045,4.66908,6.26209,8.0018,9.87262,11.86,13.9503,16.1305,18.3887,20.7139,23.0967,30.5183,43.6494,58.1032,74.4716,91.9578,107.966
new,Mix3,2,6.21780,1.88875,2.91388,4.03821,5.24569,6.52478,7.86608,9.26141,10.7036,12.1861,13.7033,15.2501,16.8224,21.6615,30.0749,39.0758,48.8803,59.1359,68.8269
new,Mix3,2.51,6.21134,1.80799,2.69295,3.63195,4.61523,5.63607,6.68925,7.77044,8.87598,10.0027,11.1481,12.3098,13.4861,17.0914,23.3486,30.0075,37.1049,44.3482,51.2424
new,Mix3,3,6.20896,1.74445,2.52499,3.32977,4.15379,4.99371,5.84698,6.71159,7.58589,8.46848,9.35824,10.2543,11.1558,13.8895,18.5417,23.3408,28.262,33.1601,37.867
