condition,value,E_MeV,d_min_mfp,d_max_mfp,spread_primary_pct,spread_broad_pct,best_mix_primary,best_mix_broad,worst_mix_broad,spearman_primary_vs_broad
areal_mass_g_cm2,5,0.04,1.2034,1.2237,2.0507,7.2424,5,4,10,0.93939
areal_mass_g_cm2,5,0.05,1.0475,1.06,1.2563,6.0321,5,4,10,0.87879
areal_mass_g_cm2,5,0.06,0.96487,0.97377,0.89397,5.0767,5,4,10,0.44242
areal_mass_g_cm2,5,0.08,0.87264,0.87878,0.61539,3.6388,2,4,10,-0.13939
areal_mass_g_cm2,5,0.1,0.8144,0.82155,0.71756,2.7712,2,4,10,-0.13939
areal_mass_g_cm2,5,0.15,0.72043,0.72781,0.74073,0.64333,2,4,10,-0.47879
areal_mass_g_cm2,5,0.2,0.65655,0.66356,0.70447,0.60304,2,4,10,-0.47879
areal_mass_g_cm2,5,0.3,0.5689,0.57515,0.62645,0.39875,2,4,10,-0.23636
areal_mass_g_cm2,5,0.356,0.533,0.53889,0.59024,0.31895,2,4,10,-0.23636
areal_mass_g_cm2,5,0.4,0.50909,0.51473,0.56559,0.26907,2,4,10,-0.23636
areal_mass_g_cm2,10,0.015,12.335,13.249,149.32,163.17,4,4,2,1
areal_mass_g_cm2,10,0.02,6.2767,6.6451,44.532,57.197,4,4,2,1
areal_mass_g_cm2,10,0.03,3.1908,3.2891,10.332,20.991,4,4,2,0.98788
areal_mass_g_cm2,10,0.04,2.4068,2.4474,4.1435,13.161,5,4,10,0.93939
areal_mass_g_cm2,10,0.05,2.0951,2.1201,2.5284,10.249,5,4,10,0.87879
areal_mass_g_cm2,10,0.06,1.9297,1.9475,1.7959,8.4526,5,4,10,0.44242
areal_mass_g_cm2,10,0.08,1.7453,1.7576,1.2346,6.2449,2,4,10,-0.13939
areal_mass_g_cm2,10,0.1,1.6288,1.6431,1.4403,4.9498,2,4,10,-0.13939
areal_mass_g_cm2,10,0.15,1.4409,1.4556,1.4869,2.3219,2,4,10,-0.15152
areal_mass_g_cm2,10,0.2,1.3131,1.3271,1.4139,1.9053,2,4,10,-0.078788
areal_mass_g_cm2,10,0.3,1.1378,1.1503,1.2568,1.2668,2,4,10,-0.078788
areal_mass_g_cm2,10,0.356,1.066,1.0778,1.184,1.0717,2,5,10,0.078788
areal_mass_g_cm2,10,0.4,1.0182,1.0295,1.1344,0.9501,2,5,10,0.078788
areal_mass_g_cm2,10,0.5,0.92933,0.93966,1.0384,0.79576,2,5,10,0.078788
areal_mass_g_cm2,10,0.511,0.92083,0.93108,1.0303,0.78523,2,5,10,0.078788
areal_mass_g_cm2,10,0.6,0.85927,0.86884,0.96159,0.709,2,5,10,0.28485
areal_mass_g_cm2,10,0.662,0.82271,0.83189,0.92223,0.663,2,5,10,0.28485
areal_mass_g_cm2,10,0.8,0.75456,0.76297,0.84455,0.60056,2,5,10,0.2
areal_mass_g_cm2,10,1,0.67838,0.68595,0.75987,0.36881,2,5,10,0.85455
areal_mass_g_cm2,10,1.173,0.62676,0.63377,0.70346,0.24048,2,3,10,-0.22424
areal_mass_g_cm2,10,1.33,0.58761,0.59417,0.65816,0.19546,2,3,2,-0.96364
areal_mass_g_cm2,10,1.5,0.55211,0.55826,0.6169,0.14762,2,10,2,-0.86667
areal_mass_g_cm2,20,0.015,24.671,26.498,521.61,568.65,4,4,2,1
areal_mass_g_cm2,20,0.02,12.553,13.29,108.89,133.57,4,4,2,1
areal_mass_g_cm2,20,0.03,6.3816,6.5783,21.731,39.033,4,4,2,0.98788
areal_mass_g_cm2,20,0.04,4.8135,4.8947,8.4588,23.597,5,4,10,0.93939
areal_mass_g_cm2,20,0.05,4.1902,4.2401,5.1208,17.231,5,4,10,0.87879
areal_mass_g_cm2,20,0.06,3.8595,3.8951,3.6241,13.777,5,4,10,0.44242
areal_mass_g_cm2,20,0.08,3.4906,3.5151,2.4844,10.149,2,4,10,-0.066667
areal_mass_g_cm2,20,0.1,3.2576,3.2862,2.9013,8.2464,2,4,10,0.0060606
areal_mass_g_cm2,20,0.15,2.8817,2.9113,2.996,5.3801,2,5,10,0.018182
areal_mass_g_cm2,20,0.2,2.6262,2.6543,2.8478,4.4137,2,5,10,0.018182
areal_mass_g_cm2,20,0.3,2.2756,2.3006,2.5295,3.1754,2,5,10,0.078788
areal_mass_g_cm2,20,0.356,2.132,2.1556,2.3819,2.7503,2,5,10,0.078788
areal_mass_g_cm2,20,0.4,2.0364,2.0589,2.2816,2.4637,2,5,10,0.2
areal_mass_g_cm2,20,0.5,1.8587,1.8793,2.0875,2.0158,2,5,10,0.28485
areal_mass_g_cm2,20,0.511,1.8417,1.8622,2.0712,1.982,2,5,10,0.28485
areal_mass_g_cm2,20,0.6,1.7185,1.7377,1.9324,1.7356,2,5,10,0.3697
areal_mass_g_cm2,20,0.662,1.6454,1.6638,1.853,1.5938,2,5,10,0.67273
areal_mass_g_cm2,20,0.8,1.5091,1.5259,1.6962,1.3572,2,5,10,0.53939
areal_mass_g_cm2,20,1,1.3568,1.3719,1.5255,0.9548,2,5,10,0.85455
areal_mass_g_cm2,20,1.173,1.2535,1.2675,1.4119,0.50141,2,5,10,0.030303
areal_mass_g_cm2,20,1.33,1.1752,1.1883,1.3206,0.26231,2,3,2,-0.74545
areal_mass_g_cm2,20,1.5,1.1042,1.1165,1.2376,0.19754,2,10,2,-0.64848
areal_mass_g_cm2,20,2,0.94766,0.95798,1.0373,0.2121,2,10,2,-0.62424
areal_mass_g_cm2,20,2.51,0.83748,0.84642,0.89801,0.18104,2,10,5,-0.61212
areal_mass_g_cm2,20,3,0.76026,0.768,0.777,0.18861,2,10,5,-0.50303
areal_mass_g_cm2,20,4,0.6508,0.65686,0.60784,0.14495,2,10,4,-0.32121
